supersource,count2
http://purl.obolibrary.org/obo/CHEBI_49167,44
http://purl.obolibrary.org/obo/CHEBI_49200,11
http://purl.obolibrary.org/obo/CHEBI_49201,39
http://purl.obolibrary.org/obo/CHEBI_49205,3
http://purl.obolibrary.org/obo/CHEBI_49323,22
http://purl.obolibrary.org/obo/CHEBI_49324,16
http://purl.obolibrary.org/obo/CHEBI_49325,14
http://purl.obolibrary.org/obo/CHEBI_49326,13
http://purl.obolibrary.org/obo/CHEBI_50103,7
http://purl.obolibrary.org/obo/CHEBI_50112,252
http://purl.obolibrary.org/obo/CHEBI_50113,164
http://purl.obolibrary.org/obo/CHEBI_50114,68
http://purl.obolibrary.org/obo/CHEBI_50137,7
http://purl.obolibrary.org/obo/CHEBI_50141,7
http://purl.obolibrary.org/obo/CHEBI_50176,15
http://purl.obolibrary.org/obo/CHEBI_50177,84
http://purl.obolibrary.org/obo/CHEBI_50183,33
http://purl.obolibrary.org/obo/CHEBI_50184,3
http://purl.obolibrary.org/obo/CHEBI_50185,8
http://purl.obolibrary.org/obo/CHEBI_50188,6
